PLANNED_VISIT_ACCESSION	END_RULE	MAX_START_DAY	MIN_START_DAY	NAME	ORDER_NUMBER	START_RULE	STUDY_ACCESSION	WORKSPACE_ID
PV7923		0	0	00 - screen	1		SDY1514	3133
PV7924		90	90	01 - 3 months	2		SDY1514	3133
PV7925		180	180	02 - 6 months	3		SDY1514	3133
PV7926		270	270	03 - 9 months	4		SDY1514	3133
PV7927		360	360	04 - 12 months	5		SDY1514	3133
PV7928		540	540	05 - 18 months	6		SDY1514	3133
PV7929		720	720	06 - 24 months	7		SDY1514	3133
PV7930		900	900	07 - 30 months	8		SDY1514	3133
PV7931		1080	1080	08 - 36 months	9		SDY1514	3133
PV7932		1260	1260	09 - 42 months	10		SDY1514	3133
PV7933		1440	1440	10 - 48 months	11		SDY1514	3133
PV7934		1620	1620	11 - 54 months	12		SDY1514	3133
PV7935		1800	1800	12 - 5 years	13		SDY1514	3133
PV7936		2008	2008	13 - 5.5 years	14		SDY1514	3133
PV7937		2190	2190	14 - 6 years	15		SDY1514	3133
PV7938		2373	2373	15 - 6.5 years	16		SDY1514	3133
PV7939		2555	2555	16 - 7 years	17		SDY1514	3133
PV7940		2738	2738	17 - 7.5 years	18		SDY1514	3133
PV7941		2920	2920	18 - 8 years	19		SDY1514	3133
PV7942		3103	3103	19 - 8.5 years	20		SDY1514	3133
PV7943		3285	3285	20 - 9 years	21		SDY1514	3133
PV7944		3468	3468	21 - 9.5 years	22		SDY1514	3133
PV7945		3650	3650	22 - 10 years	23		SDY1514	3133
