PLANNED_VISIT_ACCESSION	END_RULE	MAX_START_DAY	MIN_START_DAY	NAME	ORDER_NUMBER	START_RULE	STUDY_ACCESSION	WORKSPACE_ID
PV7902		0	-30	cofar1_0	1		SDY1513	3133
PV7903		7	0	cofar1_1	2		SDY1513	3133
PV7904		14	7	cofar1_2	3		SDY1513	3133
PV7905		21	14	cofar1_3	4		SDY1513	3133
PV7906		28	21	cofar1_4	5		SDY1513	3133
PV7907		35	28	cofar1_5	6		SDY1513	3133
PV7908		42	35	cofar1_6	7		SDY1513	3133
PV7909		49	42	cofar1_7	8		SDY1513	3133
PV7910		56	49	cofar1_8	9		SDY1513	3133
PV7911		63	56	cofar1_9	10		SDY1513	3133
PV7912		70	63	cofar1_10	11		SDY1513	3133
PV7913		84	77	cofar1_11	12		SDY1513	3133
PV7914		98	91	cofar1_12	13		SDY1513	3133
PV7915		112	105	cofar1_13	14		SDY1513	3133
PV7916		140	133	cofar1_14	15		SDY1513	3133
PV7917		168	161	cofar1_F01	16		SDY1513	3133
PV7918		196	189	cofar1_F02	17		SDY1513	3133
PV7919		224	217	cofar1_F03	18		SDY1513	3133
PV7920		308	301	cofar1_F04	19		SDY1513	3133
